age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,salary
38,1,14,2,10,0,4,1,0,0,40,
43,6,9,2,3,0,4,1,0,0,60,
27,4,11,2,1,5,4,0,0,0,35,
20,4,10,4,12,3,4,1,0,0,20,
49,4,10,2,3,0,1,1,0,0,40,
61,5,9,2,3,0,4,1,0,0,40,
27,4,10,4,12,3,4,0,0,0,40,
19,4,10,4,8,3,4,1,0,0,30,
45,4,11,4,10,1,4,0,0,1564,40,
70,4,10,4,13,2,4,1,0,0,40,
31,4,9,4,14,4,2,0,0,0,30,
22,4,10,2,8,0,4,1,0,0,24,
36,4,9,6,8,4,4,0,0,0,24,
64,4,7,2,3,0,4,1,0,2179,40,
43,0,10,0,0,1,4,0,0,0,40,
47,2,10,0,1,4,4,0,0,0,38,
34,4,9,4,1,1,4,0,0,0,40,
33,4,13,4,4,2,1,0,0,0,40,
21,4,9,4,3,3,4,1,0,0,35,
52,0,9,0,0,1,4,1,0,0,45,
48,4,9,2,3,0,4,1,0,0,46,
23,4,13,4,6,1,4,1,0,0,40,
71,6,10,5,12,4,2,1,0,1816,2,
29,4,9,0,3,1,4,1,0,0,60,
42,4,13,5,8,2,2,1,0,0,50,
68,0,2,0,0,1,4,0,0,0,20,
25,4,9,4,8,4,4,0,0,0,40,
44,5,14,0,4,4,1,0,0,0,40,
28,4,9,4,4,1,1,0,0,0,40,
45,6,14,2,12,0,4,1,0,0,40,
36,4,10,0,8,4,4,0,0,0,40,
39,1,12,4,4,1,4,1,0,0,42,
46,7,14,6,11,4,4,1,0,0,40,
18,4,7,4,6,3,4,1,0,0,16,
66,2,11,6,10,1,4,0,0,0,20,
27,4,9,4,8,1,4,1,0,1980,40,
28,7,9,2,11,0,4,1,0,0,40,
51,4,10,2,12,0,4,1,0,1977,40,
27,4,13,4,3,1,4,1,0,0,50,
28,7,13,2,10,0,4,1,0,0,40,
27,4,9,3,12,4,4,0,0,0,25,
21,4,9,4,3,3,2,1,0,0,40,
34,4,9,4,6,1,2,1,0,0,40,
18,4,9,4,8,3,4,1,0,0,12,
33,4,13,2,10,0,4,1,0,0,65,
44,2,10,2,4,0,2,1,0,0,38,
43,4,10,0,1,1,4,0,0,0,40,
30,4,10,4,3,1,2,1,0,0,45,
40,4,4,2,7,0,4,1,0,0,40,
37,1,10,2,1,0,4,1,0,0,42,
34,4,9,2,1,0,2,1,0,0,40,
41,6,13,0,4,1,4,0,0,0,40,
53,0,13,0,0,1,4,0,0,0,50,
31,4,14,2,10,5,4,0,0,0,50,
58,7,16,2,10,0,4,1,0,0,1,
38,4,10,0,7,1,2,0,0,0,28,
24,4,10,2,7,0,4,1,0,0,40,
41,2,13,2,3,0,2,1,0,0,40,
47,4,10,2,13,0,4,1,0,0,45,
41,1,13,2,13,0,4,1,0,0,24,
23,4,3,2,14,2,4,1,0,0,40,
36,4,10,0,3,1,4,1,0,0,40,
40,1,14,4,4,1,4,0,14084,0,55,
35,4,14,2,10,2,4,1,7298,0,40,
24,6,9,4,12,1,4,1,0,0,40,
26,4,14,4,10,1,4,0,0,1876,40,
19,0,9,4,0,3,4,1,0,0,40,
51,4,13,2,4,0,4,1,0,0,50,
42,2,10,4,10,1,4,0,0,1340,40,
37,7,9,0,1,4,4,0,0,0,35,
18,4,7,4,12,3,4,0,0,0,40,
36,4,13,2,8,0,2,1,7298,0,36,
35,4,9,0,3,1,4,1,0,0,60,
58,5,9,2,12,5,4,0,15024,0,35,
17,4,7,4,12,3,4,0,0,0,12,
44,2,9,2,14,0,2,1,0,0,40,
37,4,9,2,3,0,4,1,0,0,40,
35,4,10,4,12,1,0,0,0,0,40,
60,4,9,2,3,0,1,1,0,0,40,
54,5,4,2,7,0,4,1,0,0,40,
37,4,13,4,4,1,2,1,0,0,60,
50,4,12,0,12,1,4,0,0,0,40,
38,4,13,2,12,0,4,1,0,0,50,
45,4,13,2,10,0,4,1,0,0,55,
25,4,6,4,3,1,4,1,0,0,40,
31,4,10,2,6,0,4,1,0,0,40,
64,0,2,0,0,1,4,1,0,0,40,
90,4,9,4,8,1,2,1,0,2206,40,
54,4,9,2,1,0,2,1,0,0,20,
53,2,1,4,7,1,4,0,0,0,35,
18,4,9,4,12,3,4,0,0,0,40,
60,0,6,0,0,1,0,0,0,0,10,
66,6,9,2,5,0,4,1,1409,0,50,
75,4,11,6,1,1,4,0,0,0,20,
65,4,9,0,1,1,4,0,0,0,40,
35,4,7,5,14,1,2,1,3674,0,40,
41,4,9,0,12,4,2,0,0,0,38,
25,4,10,4,1,1,4,1,0,0,42,
33,4,10,0,3,2,3,0,0,0,40,
28,4,15,4,10,1,4,1,0,0,55,
59,7,9,2,8,0,4,1,0,0,40,
40,7,10,4,1,1,4,0,0,0,38,
41,4,13,2,4,0,4,1,0,0,50,
38,2,14,2,4,0,4,1,0,0,70,
23,4,9,4,14,3,4,1,0,0,40,
40,4,13,2,10,0,4,1,0,0,40,
41,6,9,2,8,5,4,0,0,0,20,
24,7,12,2,11,0,4,1,0,0,50,
20,0,10,4,0,3,4,1,0,0,20,
38,4,10,0,3,1,4,1,0,1741,40,
56,4,9,2,1,0,4,1,0,0,35,
58,4,9,2,1,0,4,1,0,0,45,
32,4,9,4,8,1,4,0,0,0,34,
40,4,12,2,13,0,4,1,0,1977,60,
45,4,9,2,1,0,4,1,0,0,40,
41,4,15,2,10,5,4,0,0,0,40,
42,4,13,2,1,5,2,0,0,0,40,
59,2,6,6,8,4,2,0,0,0,30,
19,2,10,4,1,3,4,1,0,0,40,
58,4,10,4,14,1,4,1,0,0,20,
42,6,9,2,5,0,1,1,0,0,40,
20,4,9,4,8,3,4,0,0,0,40,
32,4,9,5,8,1,4,0,0,0,30,
45,4,11,6,4,1,4,0,0,0,45,
50,4,4,0,3,1,4,1,0,0,40,
36,4,13,0,10,3,4,0,0,0,40,
45,4,9,2,12,0,4,1,0,0,60,
17,4,7,4,8,3,4,1,0,0,12,
59,4,10,2,12,0,4,1,4064,0,40,
26,4,7,2,3,0,4,1,0,0,40,
37,5,10,2,4,0,1,1,0,0,75,
19,0,10,4,0,3,4,1,0,0,24,
64,4,9,2,4,0,4,1,0,0,40,
33,4,13,4,10,1,4,0,0,0,45,
33,4,9,2,3,5,4,0,0,0,40,
61,4,9,2,4,0,4,1,0,0,40,
17,4,5,4,8,3,4,1,1055,0,24,
50,6,14,2,5,0,4,1,2407,0,98,
27,2,14,4,10,3,4,1,0,0,35,
30,4,9,0,10,3,4,0,0,0,40,
43,4,9,2,6,0,2,1,0,0,40,
44,4,10,2,3,0,4,1,7298,0,40,
35,4,10,4,4,1,4,0,0,0,40,
25,4,10,4,13,3,4,0,0,0,40,
24,4,10,2,7,5,4,0,7298,0,48,
22,4,13,4,10,1,4,0,0,0,15,
42,2,10,2,3,0,4,1,5178,0,40,
34,4,12,0,12,4,2,0,0,0,45,
60,4,13,0,10,1,4,0,0,0,42,
21,4,9,4,6,3,4,1,0,0,40,
57,1,14,2,12,0,4,1,15024,0,40,
41,4,15,2,10,0,4,1,0,0,60,
50,4,10,0,8,1,4,1,0,0,45,
25,4,13,4,4,1,4,0,0,0,40,
50,4,4,2,3,0,4,1,0,0,40,
36,4,13,2,10,0,4,1,0,0,45,
31,4,9,0,10,1,4,0,0,0,40,
29,2,13,4,11,1,4,1,0,0,56,
21,4,10,4,12,3,4,1,0,0,45,
27,4,13,4,13,4,2,0,0,0,40,
65,4,9,2,14,0,4,1,0,0,16,
37,5,13,0,12,1,4,0,0,0,60,
39,0,14,2,0,5,1,0,3464,0,40,
24,4,9,4,3,3,4,1,0,0,40,
38,4,9,0,12,1,4,1,0,0,80,
48,4,13,2,1,0,4,1,7688,0,40,
21,4,10,4,8,1,1,0,0,0,25,
31,4,9,2,14,0,4,1,0,0,45,
55,4,9,2,12,0,4,1,4386,0,40,
24,4,10,2,1,5,1,0,0,0,40,
43,4,9,0,1,1,4,0,0,0,40,
26,4,12,4,13,1,4,1,0,0,45,
46,4,12,4,10,1,4,0,0,0,33,
35,4,12,2,1,0,4,1,0,0,40,
41,5,10,2,5,0,4,1,0,0,54,
26,4,13,4,12,1,4,1,0,0,40,
34,4,14,2,4,0,1,1,7298,0,35,
19,0,10,4,0,3,2,0,0,0,25,
36,6,13,0,10,1,2,0,0,0,40,
22,4,10,4,12,3,4,1,0,0,15,
24,4,10,4,7,1,4,1,0,0,40,
77,6,10,2,12,0,4,1,0,0,40,
22,4,3,2,7,2,4,0,0,0,40,
29,4,10,4,13,1,4,0,0,0,40,
62,4,9,6,8,1,4,0,0,0,24,
39,6,9,2,4,0,4,1,0,0,40,
43,4,10,2,3,0,4,1,0,1485,50,
35,4,9,0,14,1,4,1,0,0,45,
29,4,7,4,4,1,4,0,0,0,40,
76,6,14,2,3,0,4,1,0,0,10,
63,6,9,2,5,0,4,1,0,0,45,
23,0,11,4,0,3,2,0,0,0,15,
43,4,10,2,10,5,4,0,0,1887,50,
58,6,9,2,6,0,4,1,0,0,40,
66,4,9,4,14,1,4,1,2050,0,55,
41,4,10,4,3,1,2,1,0,0,45,
26,4,13,4,1,1,4,1,0,0,40,
47,4,11,4,8,1,4,1,0,0,40,
55,2,6,2,1,0,4,1,0,0,40,
53,4,9,2,14,0,4,1,0,0,40,
17,4,3,4,8,2,4,1,0,0,48,
30,4,9,4,3,2,4,1,0,0,40,
49,4,14,4,10,1,4,1,0,0,60,
19,4,9,4,12,4,2,1,0,0,30,
45,4,9,2,8,0,2,1,0,0,40,
26,4,12,4,12,1,4,1,0,0,40,
38,4,11,2,3,0,4,1,7298,0,40,
36,7,9,2,11,0,4,1,7298,0,40,
33,4,9,4,5,1,4,1,0,0,20,
22,7,10,4,11,3,2,0,0,0,40,
43,6,13,4,12,1,4,1,0,0,42,
67,0,7,2,0,0,4,1,0,0,8,
30,0,11,0,0,4,4,0,0,0,40,
56,4,12,3,8,1,4,1,0,0,25,
31,4,13,4,10,3,4,1,0,0,25,
33,4,13,2,4,0,4,1,0,0,40,
26,4,9,2,8,0,4,1,0,0,40,
33,4,13,2,4,0,4,1,0,0,40,
46,2,7,2,14,0,4,1,0,0,30,
59,0,13,2,0,0,4,1,0,0,40,
38,1,9,2,1,0,4,1,0,0,40,
65,4,7,6,8,4,3,1,0,0,40,
40,4,11,2,13,0,4,1,0,0,40,
42,4,9,2,1,5,4,0,0,0,35,
26,6,5,2,3,0,4,1,0,0,40,
36,4,6,2,8,5,4,0,0,0,24,
62,4,14,2,10,0,4,1,0,0,40,
43,4,13,2,14,0,4,1,0,0,45,
43,4,13,0,4,1,4,1,0,1564,45,
22,4,9,3,12,1,4,1,0,0,55,
28,4,9,2,3,0,4,1,0,0,40,
56,6,10,2,12,0,4,1,0,0,45,
22,4,12,4,12,1,4,0,0,0,15,
57,4,13,0,4,1,4,0,0,0,45,
39,4,9,0,12,4,4,0,0,0,40,
26,1,10,4,1,4,4,0,0,0,15,
17,4,7,4,8,3,4,1,0,0,10,
40,7,11,2,7,0,4,1,0,0,38,
45,4,9,2,7,0,2,1,0,0,40,
44,4,9,4,3,1,2,1,0,0,40,
20,2,10,4,1,3,4,0,0,0,10,
33,4,9,2,3,5,4,0,0,0,40,
23,4,10,4,12,1,4,1,0,0,40,
46,6,14,0,4,1,4,1,0,0,30,
38,4,9,2,12,0,4,1,0,0,50,
54,4,9,0,14,1,4,1,0,0,40,
46,4,3,0,3,1,4,0,0,2339,45,
25,4,10,2,3,0,4,1,0,0,40,
46,4,10,0,12,1,4,0,0,0,40,
36,2,10,2,14,5,4,0,0,0,40,
23,4,9,4,8,1,4,0,0,0,25,
29,4,9,5,7,1,4,1,0,0,40,
44,4,10,2,1,5,4,0,0,2415,6,
19,4,10,4,1,3,4,0,0,0,16,
19,4,9,4,8,2,4,0,0,0,40,
35,4,9,2,8,5,4,0,0,0,40,
27,4,13,4,3,1,4,1,0,0,50,
46,6,12,5,3,1,4,1,0,0,40,
34,7,13,2,4,0,4,1,7688,0,45,
34,4,9,4,8,1,4,0,0,0,35,
44,4,10,2,13,0,4,1,0,0,40,
45,4,10,0,6,4,4,0,0,0,40,
20,0,9,4,0,2,4,0,0,0,35,
25,4,13,2,4,0,4,1,0,0,55,
52,5,13,2,4,0,4,1,0,0,50,
20,4,10,4,6,3,4,1,0,0,40,
28,4,10,4,8,1,4,0,0,0,40,
50,7,13,2,11,0,4,1,0,0,40,
34,4,11,0,13,1,4,0,0,0,64,
28,4,4,2,6,0,3,1,0,2179,40,
41,4,14,2,4,0,4,1,0,1977,65,
28,4,9,2,1,0,4,1,0,0,40,
46,6,9,2,3,0,4,1,0,0,25,
28,0,10,2,0,5,4,0,0,1887,40,
32,4,10,2,4,0,4,1,0,0,50,
41,2,10,0,8,1,2,0,0,0,24,
24,4,9,4,6,4,2,0,0,0,40,
33,4,10,0,4,4,4,0,0,0,40,
46,4,16,2,4,0,4,1,15024,0,60,
31,7,10,2,7,0,4,1,0,0,40,
35,4,8,0,3,1,4,1,0,0,50,
52,4,2,2,7,0,4,1,0,0,40,
30,4,7,4,8,3,4,0,0,0,19,
34,2,7,5,7,1,2,1,0,0,40,
34,7,9,0,14,4,4,0,0,0,40,
20,4,10,2,12,0,4,1,0,0,30,
17,4,7,4,6,3,4,1,2176,0,18,
32,7,13,2,4,5,4,0,0,0,40,
29,4,9,0,5,1,4,1,0,0,40,
33,4,6,4,3,4,4,0,0,0,35,
25,4,9,2,14,0,4,1,0,0,60,
36,1,14,4,10,1,4,1,0,1408,40,
23,4,9,4,6,1,4,1,0,0,72,
63,5,9,2,4,0,4,1,0,0,40,
47,2,14,2,10,0,4,1,0,0,40,
80,0,9,6,0,1,4,1,0,0,24,
17,0,7,4,0,3,4,1,0,0,40,
40,6,13,3,10,1,4,0,2174,0,40,
30,4,12,2,8,5,4,0,0,0,25,
27,4,10,4,3,3,1,1,0,1980,40,
33,4,14,2,10,0,4,1,0,0,50,
34,2,9,4,5,1,2,1,594,0,60,
34,2,10,4,11,1,4,0,0,0,40,
23,4,10,2,1,0,4,1,0,0,40,
42,2,10,2,1,5,4,0,0,0,40,
29,4,13,4,10,1,4,1,0,0,40,
45,4,9,0,1,1,4,0,0,0,28,
24,1,9,4,2,3,4,1,0,0,40,
44,4,10,2,10,0,4,1,0,0,40,
27,4,5,4,3,2,4,1,0,0,40,
20,4,10,4,12,1,4,1,0,0,35,
44,4,9,6,4,4,2,0,0,0,40,
51,4,9,2,3,0,0,1,0,0,40,
20,4,9,2,7,0,4,1,0,0,40,
17,0,7,4,0,3,4,0,0,0,5,
19,4,9,4,7,3,2,0,0,0,40,
45,5,10,2,3,0,4,1,0,0,55,
60,4,9,2,3,0,4,1,0,0,40,
42,4,12,2,4,0,2,1,0,0,40,
44,6,9,2,12,5,4,0,0,0,40,
40,4,11,2,7,0,1,1,0,0,40,
30,4,9,2,4,5,4,0,0,0,40,
38,4,10,2,14,0,2,1,0,0,50,
23,4,9,2,14,0,4,1,0,0,60,
32,0,10,2,0,0,4,1,0,0,40,
44,4,12,4,5,3,4,1,0,0,40,
54,2,9,2,14,0,2,1,0,0,40,
32,4,13,2,10,0,4,1,0,0,50,
50,4,2,3,3,4,4,1,0,0,40,
24,4,13,4,13,1,4,0,0,0,20,
37,4,9,2,1,5,4,0,0,0,60,
52,4,9,0,14,4,4,1,0,0,40,
38,4,10,2,14,0,4,1,0,0,40,
49,4,14,2,4,0,4,1,0,1977,45,
30,4,13,2,13,5,4,0,0,0,16,
60,4,10,4,10,4,4,1,0,0,40,
22,0,10,4,0,3,4,1,0,0,40,
35,4,9,4,3,1,4,1,0,0,40,
30,4,9,4,14,1,4,1,0,0,60,
67,4,11,0,8,1,4,0,0,0,24,
46,4,13,4,3,1,4,0,0,0,40,
17,4,5,4,8,1,4,1,0,0,6,
22,4,10,4,6,3,4,1,0,0,30,
27,4,6,4,8,1,4,1,0,0,40,
23,4,9,4,8,4,4,0,0,0,35,
33,4,12,2,3,0,4,1,0,0,45,
43,6,10,2,3,0,4,1,0,0,20,
28,7,13,4,10,1,4,1,0,0,20,
41,4,9,3,3,4,4,0,0,0,40,
52,0,8,4,0,2,2,1,594,0,40,
25,4,10,3,1,3,2,0,0,0,20,
63,0,2,2,0,0,4,1,0,0,35,
59,2,9,2,14,0,4,1,0,0,45,
45,2,13,0,10,4,4,0,0,0,40,
38,4,13,2,12,0,4,1,15024,0,60,
40,4,9,4,8,1,4,0,0,0,35,
46,1,9,0,1,1,4,1,0,0,40,
35,4,12,4,4,1,4,0,0,0,60,
34,4,9,0,10,4,4,0,0,0,25,
33,4,13,4,3,3,4,1,0,0,20,
41,4,9,0,1,4,4,0,0,0,36,
20,4,10,4,7,3,4,1,0,0,40,
23,4,3,4,8,3,4,1,0,0,40,
26,4,10,4,10,1,4,0,0,0,35,
72,0,9,2,0,0,4,1,0,0,20,
23,2,9,4,5,1,4,1,0,0,40,
62,2,9,2,14,0,4,1,0,0,40,
52,4,10,2,1,0,4,1,0,0,40,
58,4,10,0,8,4,4,0,0,0,42,
25,4,13,4,12,1,4,0,0,0,40,
24,4,13,4,4,1,2,1,0,0,40,
19,4,10,4,11,3,4,1,0,0,8,
43,4,10,2,4,0,4,1,0,0,40,
47,2,9,5,1,4,2,0,0,0,40,
39,4,9,0,8,4,4,0,0,0,40,
49,4,11,3,6,4,4,1,0,1380,42,
53,0,3,6,0,4,2,0,0,0,30,
32,4,11,4,3,1,4,1,0,0,45,
34,4,10,2,10,0,4,1,0,0,50,
28,4,9,0,3,1,4,1,0,0,45,
57,0,11,6,0,4,4,0,0,0,38,
25,4,10,4,1,1,0,0,0,0,20,
20,0,10,4,0,3,4,1,0,0,24,
21,0,10,4,0,4,4,0,0,0,35,
34,4,13,2,10,0,4,1,0,0,50,
38,5,13,2,4,0,4,1,15024,0,80,
50,4,9,2,4,0,4,1,7688,0,50,
24,2,10,0,6,1,2,1,0,0,50,
37,2,10,2,13,0,4,1,0,0,45,
44,4,10,0,7,4,4,1,0,0,58,
28,4,10,2,12,5,4,0,0,0,40,
42,4,13,2,4,0,4,1,0,0,40,
74,4,10,0,1,1,4,0,0,0,9,
38,6,9,2,3,0,4,1,0,0,50,
44,6,14,2,10,0,4,1,0,0,40,
44,4,7,0,7,4,3,0,0,0,46,
26,4,9,4,7,1,4,1,0,0,40,
36,4,9,2,8,0,2,1,0,0,40,
41,4,12,2,4,5,4,0,0,0,50,
67,4,15,2,10,0,4,1,20051,0,48,
39,2,8,2,13,0,4,1,0,0,50,
57,4,2,6,9,1,2,0,0,0,30,
29,4,11,5,3,1,4,1,0,0,40,
31,5,13,4,5,1,4,0,0,0,45,
34,0,9,4,0,4,2,0,0,0,40,
44,4,10,2,14,0,4,1,0,0,40,
29,4,16,4,10,3,4,1,0,0,40,
30,4,10,4,6,4,4,0,0,0,40,
27,4,9,4,14,1,4,1,0,0,40,
27,4,10,2,12,0,4,1,0,0,50,
32,4,9,4,6,1,4,0,0,0,45,
58,4,6,2,8,5,4,0,0,0,8,
35,2,10,2,11,0,4,1,0,0,40,
21,4,9,4,6,3,4,1,0,0,36,
28,4,10,4,3,4,4,1,0,0,40,
46,6,10,0,4,1,4,1,0,0,50,
36,6,9,5,8,4,4,0,0,0,40,
72,4,7,6,1,4,4,0,0,0,40,
35,4,9,2,7,5,2,0,0,0,40,
33,1,11,0,3,4,2,0,0,0,40,
69,4,7,4,7,1,4,0,0,0,40,
35,4,9,2,7,0,4,1,0,0,40,
31,4,9,5,1,4,4,0,0,0,20,
34,4,9,2,13,5,4,0,0,0,32,
30,4,7,2,8,0,4,1,0,0,40,
28,4,13,4,14,1,4,1,0,0,55,
54,4,13,2,12,0,4,1,0,0,35,
47,4,10,2,10,0,4,1,0,0,50,
24,4,9,4,6,4,2,0,0,0,40,
52,6,13,2,10,0,4,1,0,0,60,
20,4,9,4,6,3,0,1,0,0,48,
43,5,14,2,4,0,4,1,5013,0,45,
45,4,4,5,8,4,4,0,0,0,40,
29,6,9,5,3,1,4,1,0,0,35,
47,4,14,0,4,4,4,1,0,0,42,
24,4,9,4,3,3,4,1,0,0,40,
51,4,9,2,10,0,4,1,0,0,40,
17,4,7,4,12,3,4,1,0,0,12,
37,4,11,2,3,0,4,1,0,1977,40,
27,4,16,4,10,1,4,0,0,0,70,
29,4,13,2,4,5,4,1,0,0,40,
18,0,8,4,0,3,4,1,0,0,25,
36,6,12,0,12,4,4,0,0,0,35,
58,2,13,4,10,1,4,0,0,0,40,
26,6,10,2,3,0,4,1,0,0,45,
65,0,10,2,0,0,4,1,0,0,30,
57,4,9,2,12,0,4,1,0,0,40,
59,4,9,2,3,0,4,1,0,0,40,
27,4,9,2,7,0,4,1,0,0,40,
31,6,13,4,13,1,4,1,0,0,40,
21,4,10,4,12,3,4,0,0,0,24,
29,4,10,4,1,1,4,1,0,0,60,
18,4,7,4,8,3,4,1,0,0,40,
52,4,6,2,3,0,4,1,0,1887,47,
57,5,13,0,10,1,4,1,0,0,80,
42,0,9,2,0,0,4,1,0,0,40,
55,0,9,2,0,5,1,0,0,0,40,
60,4,4,4,14,1,4,1,0,0,48,
31,4,13,2,10,0,4,1,7688,0,40,
23,4,13,4,1,3,4,0,0,0,40,
27,4,9,4,12,3,4,1,0,0,40,
23,0,10,4,0,4,0,0,0,0,25,
42,6,15,2,10,0,4,1,0,1902,50,
25,4,10,4,13,1,4,1,2174,0,40,
49,4,13,4,10,1,4,0,0,0,45,
32,4,13,4,13,1,4,1,0,0,40,
